# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
7	0.000000	0.000000
9	0.000000	0.000000
10	0.000000	0.000000
11	0.000000	0.000000
12	0.000000	0.000000
13	0.000000	0.000000
14	0.000000	0.000000
15	0.000000	0.000000
16	0.000000	0.000000
17	0.000000	0.000000
18	0.000000	0.000000
19	0.000000	0.000000
20	0.000000	0.000000
21	0.000000	0.000000
22	0.000000	0.000000
23	0.000000	0.000000
24	0.000000	0.000000
25	0.000000	0.000000
26	0.000000	0.000000
27	0.000000	0.000000
28	0.000000	0.000000
29	0.000000	0.000000
30	0.000000	0.000000
31	0.000000	0.000000
32	0.000000	0.000000
33	0.000000	0.000000
34	0.000000	0.000000
35	0.000000	0.000000
36	0.000000	0.000000
37	0.000000	0.000000
38	0.000000	0.000000
39	0.000000	0.000000
40	0.000000	0.000000
41	0.000000	0.000000
42	0.000000	0.000000
43	0.000000	0.000000
44	0.000000	0.000000
45	0.000000	0.000000
46	0.000000	0.000000
47	0.000000	0.000000
49	0.000000	0.000000
50	0.000000	0.000000
51	0.000000	0.000000
52	0.000000	0.000000
54	0.000000	0.000000
56	0.000000	0.000000
57	0.000000	0.000000
58	0.000000	0.000000
59	0.000000	0.000000
61	0.000000	0.000000
62	0.000000	0.000000
63	0.000000	0.000000
64	0.000000	0.000000
65	0.000000	0.000000
66	0.000000	0.000000
67	0.000000	0.000000
68	0.000000	0.000000
69	0.000000	0.000000
70	0.000000	0.000000
72	0.000000	0.000000
74	0.000000	0.000000
76	0.000000	0.000000
77	0.000000	0.000000
78	0.000000	0.000000
80	0.000000	0.000000
81	0.000000	0.000000
82	0.000000	0.000000
85	0.000000	0.000000
86	0.000000	0.000000
87	0.000000	0.000000
89	0.000000	0.000000
91	0.000000	0.000000
92	0.000000	0.000000
93	0.000000	0.000000
95	0.000000	0.000000
97	0.000000	0.000000
98	0.000000	0.000000
102	0.000000	0.000000
103	0.000000	0.000000
107	0.000000	0.000000
108	0.000000	0.000000
113	0.000000	0.000000
118	0.000000	0.000000
119	0.000000	0.000000
121	0.000000	0.000000
124	0.000000	0.000000
125	0.000000	0.000000
127	0.000000	0.000000
131	0.000000	0.000000
133	0.000000	0.000000
134	0.000000	0.000000
135	0.000000	0.000000
143	0.000000	0.000000
146	0.000000	0.000000
147	0.000000	0.000000
150	0.000000	0.000000
151	0.000000	0.000000
152	0.000000	0.000000
153	0.000000	0.000000
154	0.000000	0.000000
156	0.000000	0.000000
160	0.000000	0.000000
161	0.000000	0.000000
162	0.000000	0.000000
165	0.000000	0.000000
166	0.000000	0.000000
167	0.000000	0.000000
170	0.000000	0.000000
173	0.000000	0.000000
174	0.000000	0.000000
178	0.000000	0.000000
182	0.000000	0.000000
184	0.000000	0.000000
185	0.000000	0.000000
190	0.000000	0.000000
192	0.000000	0.000000
200	0.000000	0.000000
201	0.000000	0.000000
203	0.000000	0.000000
204	0.000000	0.000000
209	0.000000	0.000000
212	0.000000	0.000000
214	0.000000	0.000000
216	0.000000	0.000000
221	0.000000	0.000000
222	0.000000	0.000000
223	0.000000	0.000000
226	0.000000	0.000000
228	0.000000	0.000000
238	0.000000	0.000000
265	0.000000	0.000000
266	0.000000	0.000000
277	0.000000	0.000000
283	0.000000	0.000000
299	0.000000	0.000000
306	0.000000	0.000000
317	0.000000	0.000000
326	0.000000	0.000000
343	0.000000	0.000000
344	0.000000	0.000000
348	0.000000	0.000000
349	0.000000	0.000000
371	0.000000	0.000000
372	0.000000	0.000000
376	0.000000	0.000000
398	0.000000	0.000000
403	0.000000	0.000000
426	0.000000	0.000000
468	0.000000	0.000000
483	0.000000	0.000000
